Date,Gold,Silver,Yuan,ETH,LTC,XRP,ETC,STR,DASH,SC,XMR,XEM,BTC
2019-05-08,1287.75,14.93,6.7596,167.96259132337684,73.28212566947384,0.29574009359937975,5.610931265530163,0.09119042838635939,116.0795075531113,0.0025151946251529525,66.4413812180404,0.050011428011762206,5849.2898259370995
2019-05-09,1284.1,14.82,6.7665,168.39104011393377,73.72059103745512,0.2940432768384476,5.566993683696333,0.08904723412480127,114.28085051909807,0.00241811905294776,64.90140858647302,0.04799966320101304,6045.2976323694
2019-05-10,1285.4,14.795,6.7912,172.68768436689533,76.29965145076171,0.29588026602083334,5.581623835362796,0.09090449024129432,111.08597956059066,0.0024551766754920207,66.91193718915349,0.048977627013661346,6295.3248089539
2019-05-11,1284.1750000000002,14.7275,6.7933,185.0820128349759,83.01953436252958,0.31003781429929983,5.8176420404844045,0.09526669764881102,122.83092243145222,0.0027568117461317003,73.26402421113926,0.05384990294783592,6970.7209254411755
2019-05-12,1283.5625,14.69375,6.79435,191.2791770690162,86.37947581841351,0.3171165884385331,5.935651143045208,0.09744780135256936,128.703393866883,0.00290762928145154,76.44006772213214,0.0562860409149232,7308.418983684813
2019-05-13,1282.95,14.66,6.7954,197.4763413030565,89.73941727429744,0.3241953625777663,6.053660245606012,0.09962890505632771,134.5758653023138,0.00305844681677138,79.61611123312503,0.05872217888201049,7646.11704192845
2019-05-14,1297.6,14.755,6.8365,208.59798767848147,90.7639287821954,0.38665450441013954,6.394301863075307,0.11106628665635337,138.9047717434566,0.0029564407239460965,82.74494288560669,0.06272448562966718,7990.38033498945
2019-05-15,1298.9,14.815,6.8649,234.97231547645293,98.51224104309242,0.4356240958129672,7.194207374661344,0.1269864799010593,148.63618313696566,0.0033056797942497963,90.31907335987607,0.07159618676326389,8062.6336445116995
2019-05-16,1295.55,14.795,6.8688,261.4789646139921,97.43243891242993,0.43319770428278004,7.696803884829651,0.1456234081481369,153.89711704792182,0.003592682766812587,90.25593532962955,0.09708227209875793,7983.73948180575
2019-05-17,1285.8,14.48,6.8859,236.8927673913276,87.49853531274186,0.3767927715252211,7.077673693242948,0.12312689688305069,134.1893196476584,0.003094363860883214,79.73585581503967,0.08477117739814945,7196.1950253098
2019-05-18,1280.525,14.4475,6.89235,243.08615805113135,89.33131404700643,0.38706347768631455,7.231681929811867,0.12912922552774925,150.710272379307,0.0031671800944972676,83.46614825374297,0.08699480643611962,7549.312546937
2019-05-19,1277.8875,14.431249999999999,6.895575,246.18285338103323,90.24770341413871,0.39219883076686124,7.308686048096327,0.13213038985009853,158.9707487451313,0.0032035882113042946,85.33129447309463,0.08810662095510471,7725.8713077506
2019-05-20,1275.25,14.415,6.8988,249.27954871093507,91.164092781271,0.39733418384740793,7.385690166380786,0.13513155417244782,167.2312251109556,0.0032399963281113213,87.19644069244629,0.08921843547408981,7902.430068564199
2019-05-21,1276.0,14.43,6.899,254.67404832566083,91.39591563457795,0.3968125131526589,7.4456211268750465,0.1345234967450008,164.9192875491268,0.0034187413475384354,89.6460766039274,0.08817172452139826,7950.5612733452
2019-05-22,1274.0,14.435,6.8992,251.14111994785037,89.39981093591201,0.386834502079815,7.1535011971973725,0.12797885733922204,161.2315866107366,0.0033678646668216326,87.94066398840302,0.0838833269340923,7832.2434112130995
2019-05-23,1275.95,14.48,6.8994,240.92389434983295,87.74991429723454,0.37296489577981673,6.9083445964681784,0.12239117180352166,151.7404203651963,0.0032431730067810152,83.87609857744447,0.0772184049233575,7721.84049233575
2019-05-24,1281.5,14.55,6.8993,251.29896747633262,99.42418534388923,0.38893128467624866,7.253880950355472,0.1272399835323203,158.36995061172354,0.003365289237000915,86.24747546234639,0.08581487554352334,8012.59342143075
2019-05-25,1282.7,14.515,6.898300000000001,260.921444146627,106.95990556278714,0.4130824987549358,7.749293225170893,0.13222015398439252,162.9025452797021,0.0034204574676007073,91.41247370508552,0.08774300927854811,8350.828833466
2019-05-26,1283.3000000000002,14.4975,6.8978,265.73268248177413,110.7277656722361,0.4251581057942794,7.996999362578604,0.13471023921042863,165.16884261369142,0.0034480415829006034,93.9949728264551,0.0887070761460605,8519.946539483624
2019-05-27,1283.6000000000001,14.48875,6.897550000000001,268.1383016493477,112.61169572696058,0.43119590931395113,8.12085243128246,0.13595528182344668,166.30199128068608,0.0034618336405505515,95.28622238713987,0.08918910957981671,8604.505392492436
2019-05-28,1283.9,14.48,6.8973,270.5439208169213,114.49562578168505,0.43723371283362295,8.244705499986315,0.13720032443646474,167.4351399476807,0.0034756256982004996,96.57747194782466,0.0896711430135729,8689.06424550125
2019-05-29,1283.5,14.375,6.8988,268.55136848958637,114.42765951035265,0.4428046635246623,8.101669353109095,0.1360153787258263,168.06877840125512,0.0034499779004648398,93.77971427496561,0.08952692651706261,8624.9447511621
2019-05-30,1276.45,14.4,6.899,270.24435504100757,112.31589126329953,0.4444319935120209,8.410567319438291,0.13541822298459497,167.00662068062098,0.003509574679120349,94.18423007960996,0.09304652868789806,8559.93824175695
2019-05-31,1296.0,14.48,6.8992,256.7677022378724,109.07622995844905,0.4226820894325043,8.265801601429883,0.12858802523547994,160.45260457252678,0.00333345496397874,91.81851692806062,0.0960868393366872,8333.63740994685
2019-06-01,1304.975,14.592500000000001,6.8944,257.7455619692846,109.88269598817334,0.4307620808167226,8.827279550190987,0.1305884329041016,160.18420501935495,0.0033536084053064595,92.14421859481293,0.09396875280565137,8384.021013266149
2019-06-02,1309.4625,14.64875,6.8919999999999995,258.23449183499076,110.28592900303548,0.4348020765088318,9.10801852457154,0.13158863673841242,160.05000524276903,0.003363685125970319,92.30706942818908,0.09290970954013346,8409.212814925799
2019-06-03,1313.95,14.705,6.8896,258.72342170069686,110.68916201789763,0.43884207220094096,9.388757498952092,0.13258884057272327,159.91580546618312,0.0033737618466341793,92.46992026156524,0.09185066627461555,8434.404616585449
2019-06-04,1323.6,14.72,6.8822,243.1422647939712,102.45415814850554,0.4011735004638651,8.472615841606862,0.12191992635135548,148.9236689642435,0.0030421478744100208,85.19737932143558,0.08330804948384365,7800.3791651538995
2019-06-05,1337.75,14.84,6.8903,243.88421229768485,102.81936862894047,0.39835881240144005,8.07412498748616,0.12255999336507556,145.53882710207884,0.0030290492656767716,85.00941329398982,0.08287168119172092,7766.7929889148
